Dataenergy_production_total.csv
,
3
year,country,rate
1976,Cyprus,7.93
1977,Cyprus,7.93
1978,Cyprus,8.17
1979,Cyprus,8.41
1980,Cyprus,6.26
1981,Cyprus,6.02
1982,Cyprus,6.02
1983,Cyprus,5.78
1984,Cyprus,6.62
1985,Cyprus,6.73
1986,Cyprus,6.73
1987,Cyprus,6.5
1988,Cyprus,6.02
1989,Cyprus,6.02
1990,Cyprus,6.14
1991,Cyprus,5.54
1992,Cyprus,5.49
1993,Cyprus,5.47
1994,Cyprus,11.7
1995,Cyprus,42.4
1996,Cyprus,43.1
1997,Cyprus,41.6
1998,Cyprus,43
1999,Cyprus,43.6
2000,Cyprus,44.3
2001,Cyprus,44.5
2002,Cyprus,44.7
2003,Cyprus,48.1
2004,Cyprus,50.1
2005,Cyprus,51
2006,Cyprus,51.5
2007,Cyprus,73.1
2008,Cyprus,82.9
2009,Cyprus,84.6
1960,Czech Republic,
1961,Czech Republic,
1962,Czech Republic,
1963,Czech Republic,
1964,Czech Republic,
1965,Czech Republic,
1966,Czech Republic,
1967,Czech Republic,
1968,Czech Republic,
1969,Czech Republic,
1970,Czech Republic,
1971,Czech Republic,40000
1972,Czech Republic,39700
1973,Czech Republic,38500
1974,Czech Republic,39100
1975,Czech Republic,40500
1976,Czech Republic,41500
1977,Czech Republic,43300
1978,Czech Republic,42000
1979,Czech Republic,43200
1980,Czech Republic,41200
1981,Czech Republic,41300
1982,Czech Republic,41900
1983,Czech Republic,42500
1984,Czech Republic,43100
1985,Czech Republic,42700
1986,Czech Republic,43600
1987,Czech Republic,44700
1988,Czech Republic,44100
1989,Czech Republic,42400
1990,Czech Republic,40900
1991,Czech Republic,38600
1992,Czech Republic,36300
1993,Czech Republic,35800
1994,Czech Republic,33300
1995,Czech Republic,32400
1996,Czech Republic,33100
1997,Czech Republic,33500
1998,Czech Republic,31500
1999,Czech Republic,28800
2000,Czech Republic,30700
2001,Czech Republic,31400
2002,Czech Republic,31500
2003,Czech Republic,33500
2004,Czech Republic,34500
2005,Czech Republic,32900
2006,Czech Republic,33600
2007,Czech Republic,33800
2008,Czech Republic,32800
2009,Czech Republic,31200
2010,Czech Republic,31400
1960,Denmark,995
1961,Denmark,932
1962,Denmark,919
1963,Denmark,904
1964,Denmark,805
1965,Denmark,785
1966,Denmark,740
1967,Denmark,538
1968,Denmark,329
1969,Denmark,187
1970,Denmark,378
1971,Denmark,329
1972,Denmark,434
1973,Denmark,426
1974,Denmark,447
1975,Denmark,526
1976,Denmark,596
1977,Denmark,913
1978,Denmark,877
1979,Denmark,972
1980,Denmark,952
1981,Denmark,1560
1982,Denmark,2580
1983,Denmark,3100
1984,Denmark,3530
1985,Denmark,4980
1986,Denmark,6510
1987,Denmark,8160
1988,Denmark,8310
1989,Denmark,9530
1990,Denmark,10100
1991,Denmark,11900
1992,Denmark,12900
1993,Denmark,13900
1994,Denmark,15100
1995,Denmark,15600
1996,Denmark,17700
1997,Denmark,20200
1998,Denmark,20400
1999,Denmark,23800
2000,Denmark,27700
2001,Denmark,27100
2002,Denmark,28600
2003,Denmark,28500
2004,Denmark,31100
2005,Denmark,31300
2006,Denmark,29600
2007,Denmark,27100
2008,Denmark,26600
2009,Denmark,23900
2010,Denmark,23200
1960,Dominican Republic,
1961,Dominican Republic,
1962,Dominican Republic,
1963,Dominican Republic,
1964,Dominican Republic,
1965,Dominican Republic,
1966,Dominican Republic,
1967,Dominican Republic,
1968,Dominican Republic,
1969,Dominican Republic,
1970,Dominican Republic,
1971,Dominican Republic,1210
1972,Dominican Republic,1250
1973,Dominican Republic,1210
1974,Dominican Republic,1250
1975,Dominican Republic,1260
1976,Dominican Republic,1330
1977,Dominican Republic,1310
1978,Dominican Republic,1360
1979,Dominican Republic,1400
1980,Dominican Republic,1330
1981,Dominican Republic,1560
1982,Dominican Republic,1730
1983,Dominican Republic,1760
1984,Dominican Republic,1920
1985,Dominican Republic,1350
1986,Dominican Republic,1380
1987,Dominican Republic,1410
1988,Dominican Republic,1180
1989,Dominican Republic,1010
1990,Dominican Republic,1030
1991,Dominican Republic,1040
1992,Dominican Republic,1340
1993,Dominican Republic,1450
1994,Dominican Republic,1450
1995,Dominican Republic,1440
1996,Dominican Republic,1450
1997,Dominican Republic,1460
1998,Dominican Republic,1380
1999,Dominican Republic,1490
2000,Dominican Republic,1420
2001,Dominican Republic,1500
2002,Dominican Republic,1510
2003,Dominican Republic,1540
2004,Dominican Republic,1610
2005,Dominican Republic,1880
2006,Dominican Republic,1890
2007,Dominican Republic,1900
2008,Dominican Republic,1880
2009,Dominican Republic,1890
1960,Ecuador,
1961,Ecuador,
1962,Ecuador,
1963,Ecuador,
1964,Ecuador,
1965,Ecuador,
1966,Ecuador,
1967,Ecuador,
1968,Ecuador,
1969,Ecuador,
1970,Ecuador,
1971,Ecuador,1380
1972,Ecuador,5300
1973,Ecuador,11900
1974,Ecuador,10300
1975,Ecuador,9470
1976,Ecuador,10800
1977,Ecuador,10700
1978,Ecuador,11600
1979,Ecuador,11900
1980,Ecuador,11800
1981,Ecuador,12100
1982,Ecuador,11900
1983,Ecuador,13700
1984,Ecuador,14900
1985,Ecuador,16000
1986,Ecuador,16400
1987,Ecuador,10600
1988,Ecuador,17100
1989,Ecuador,16000
1990,Ecuador,16500
1991,Ecuador,17300
1992,Ecuador,18400
1993,Ecuador,19700
1994,Ecuador,21500
1995,Ecuador,22100
1996,Ecuador,21900
1997,Ecuador,22000
1998,Ecuador,21400
1999,Ecuador,21400
2000,Ecuador,22700
2001,Ecuador,23000
2002,Ecuador,22200
2003,Ecuador,23700
2004,Ecuador,29300
2005,Ecuador,29400
2006,Ecuador,29900
2007,Ecuador,28900
2008,Ecuador,28600
2009,Ecuador,27300
1960,Egypt,
1961,Egypt,
1962,Egypt,
1963,Egypt,
1964,Egypt,
1965,Egypt,
1966,Egypt,
1967,Egypt,
1968,Egypt,
1969,Egypt,
1970,Egypt,
1971,Egypt,16400
1972,Egypt,12100
1973,Egypt,9840
1974,Egypt,8830
1975,Egypt,13300
1976,Egypt,18400
1977,Egypt,23100
1978,Egypt,27700
1979,Egypt,29000
1980,Egypt,33500
1981,Egypt,36200
1982,Egypt,37600
1983,Egypt,40800
1984,Egypt,47000
1985,Egypt,51200
1986,Egypt,47900
1987,Egypt,53300
1988,Egypt,51700
1989,Egypt,53600
1990,Egypt,54900
1991,Egypt,55500
1992,Egypt,56600
1993,Egypt,59800
1994,Egypt,59200
1995,Egypt,59800
1996,Egypt,58700
1997,Egypt,57700
1998,Egypt,57200
1999,Egypt,59300
2000,Egypt,56500
2001,Egypt,57000
2002,Egypt,60900
2003,Egypt,64400
2004,Egypt,64700
2005,Egypt,76900
2006,Egypt,79700
2007,Egypt,82300
2008,Egypt,87500
2009,Egypt,88200
1960,El Salvador,
1961,El Salvador,
1962,El Salvador,
1963,El Salvador,
1964,El Salvador,
1965,El Salvador,
1966,El Salvador,
1967,El Salvador,
1968,El Salvador,
1969,El Salvador,
1970,El Salvador,
1971,El Salvador,1260
1972,El Salvador,1290
1973,El Salvador,1330
1974,El Salvador,1390
1975,El Salvador,1560
1976,El Salvador,1900
1977,El Salvador,1960
1978,El Salvador,2090
1979,El Salvador,2060
1980,El Salvador,1910
1981,El Salvador,2150
1982,El Salvador,2250
1983,El Salvador,2140
1984,El Salvador,2180
1985,El Salvador,2010
1986,El Salvador,1650
1987,El Salvador,1800
1988,El Salvador,1640
1989,El Salvador,1660
1990,El Salvador,1690
1991,El Salvador,1720
1992,El Salvador,1750
1993,El Salvador,1730
1994,El Salvador,1750
1995,El Salvador,1790
1996,El Salvador,1820
1997,El Salvador,1850
1998,El Salvador,1850
1999,El Salvador,2000
2000,El Salvador,2120
2001,El Salvador,2290
2002,El Salvador,2320
2003,El Salvador,2400
2004,El Salvador,2390
2005,El Salvador,2490
2006,El Salvador,2630
2007,El Salvador,2900
2008,El Salvador,3110
2009,El Salvador,3160
1960,Eritrea,
1961,Eritrea,
1962,Eritrea,
1963,Eritrea,
1964,Eritrea,
1965,Eritrea,
1966,Eritrea,
1967,Eritrea,
1968,Eritrea,
1969,Eritrea,
1970,Eritrea,
1971,Eritrea,
1972,Eritrea,
1973,Eritrea,
1974,Eritrea,
1975,Eritrea,
1976,Eritrea,
1977,Eritrea,
1978,Eritrea,
1979,Eritrea,
1980,Eritrea,
1981,Eritrea,
1982,Eritrea,
1983,Eritrea,
1984,Eritrea,
1985,Eritrea,
1986,Eritrea,
1987,Eritrea,
1988,Eritrea,
1989,Eritrea,
1990,Eritrea,
1991,Eritrea,
1992,Eritrea,708
1993,Eritrea,708
1994,Eritrea,708
1995,Eritrea,730
1996,Eritrea,755
1997,Eritrea,779
1998,Eritrea,482
1999,Eritrea,496
2000,Eritrea,508
2001,Eritrea,531
2002,Eritrea,548
2003,Eritrea,564
2004,Eritrea,482
2005,Eritrea,500
2006,Eritrea,515
2007,Eritrea,530
2008,Eritrea,546
2009,Eritrea,562
1960,Estonia,
1961,Estonia,
1962,Estonia,
1963,Estonia,
1964,Estonia,
1965,Estonia,
1966,Estonia,
1967,Estonia,
1968,Estonia,
1969,Estonia,
1970,Estonia,
1971,Estonia,
1972,Estonia,
1973,Estonia,
1974,Estonia,
1975,Estonia,
1976,Estonia,
1977,Estonia,
1978,Estonia,
1979,Estonia,
1980,Estonia,
1981,Estonia,
1982,Estonia,
1983,Estonia,
1984,Estonia,
1985,Estonia,
1986,Estonia,
1987,Estonia,
1988,Estonia,
1989,Estonia,
1990,Estonia,5420
1991,Estonia,4740
1992,Estonia,4450
1993,Estonia,3240
1994,Estonia,3410
1995,Estonia,3220
1996,Estonia,3750
1997,Estonia,3680
1998,Estonia,3240
1999,Estonia,2990
2000,Estonia,3180
2001,Estonia,3170
2002,Estonia,3380
2003,Estonia,3910
2004,Estonia,3710
2005,Estonia,3870
2006,Estonia,3750
2007,Estonia,4410
2008,Estonia,4230
2009,Estonia,4160
2010,Estonia,4900
1960,Ethiopia,
1961,Ethiopia,
1962,Ethiopia,
1963,Ethiopia,
1964,Ethiopia,
1965,Ethiopia,
1966,Ethiopia,
1967,Ethiopia,
1968,Ethiopia,
1969,Ethiopia,
1970,Ethiopia,
1971,Ethiopia,8130
1972,Ethiopia,8340
1973,Ethiopia,8560
1974,Ethiopia,8790
1975,Ethiopia,9020
1976,Ethiopia,9260
1977,Ethiopia,9510
1978,Ethiopia,9780
1979,Ethiopia,10100
1980,Ethiopia,10300
1981,Ethiopia,10600
1982,Ethiopia,10900
1983,Ethiopia,11200
1984,Ethiopia,11600
1985,Ethiopia,11900
1986,Ethiopia,12200
1987,Ethiopia,12600
1988,Ethiopia,13100
1989,Ethiopia,13500
1990,Ethiopia,14100
1991,Ethiopia,14500
1992,Ethiopia,15000
1993,Ethiopia,14700
1994,Ethiopia,15100
1995,Ethiopia,15500
1996,Ethiopia,15900
1997,Ethiopia,16300
1998,Ethiopia,16800
1999,Ethiopia,17200
2000,Ethiopia,17600
2001,Ethiopia,18000
2002,Ethiopia,18400
2003,Ethiopia,18900
2004,Ethiopia,19400
2005,Ethiopia,19900
2006,Ethiopia,20400
2007,Ethiopia,28800
2008,Ethiopia,29600
2009,Ethiopia,30400
1960,Finland,5290
1961,Finland,5500
1962,Finland,5560
1963,Finland,5390
1964,Finland,5390
1965,Finland,5440
1966,Finland,5460
1967,Finland,5420
1968,Finland,5200
1969,Finland,5030
1970,Finland,5000
1971,Finland,4980
1972,Finland,4880
1973,Finland,4880
1974,Finland,4990
1975,Finland,4370
1976,Finland,4160
1977,Finland,5060
1978,Finland,5340
1979,Finland,6430
1980,Finland,6910
1981,Finland,8960
1982,Finland,10100
1983,Finland,10200
1984,Finland,10500
1985,Finland,10400
1986,Finland,11300
1987,Finland,10700
1988,Finland,11200
1989,Finland,11700
1990,Finland,12100
1991,Finland,11200
1992,Finland,12100
1993,Finland,11800
1994,Finland,13000
1995,Finland,13200
1996,Finland,13600
1997,Finland,15000
1998,Finland,13600
1999,Finland,15400
2000,Finland,15100
2001,Finland,15100
2002,Finland,16100
2003,Finland,16000
2004,Finland,15800
2005,Finland,16700
2006,Finland,18200
2007,Finland,16100
2008,Finland,16500
2009,Finland,16600
2010,Finland,17200
1960,France,45300
1961,France,44100
1962,France,44700
1963,France,42600
1964,France,45800
1965,France,46000
1966,France,45900
1967,France,44400
1968,France,41200
1969,France,41400
1970,France,50100
1971,France,47600
1972,France,46900
1973,France,44200
1974,France,42300
1975,France,43600
1976,France,41100
1977,France,44500
1978,France,45700
1979,France,47900
1980,France,52600
1981,France,64000
1982,France,63600
1983,France,73000
1984,France,85100
1985,France,93300
1986,France,99900
1987,France,104000
1988,France,105000
1989,France,109000
1990,France,112000
1991,France,119000
1992,France,120000
1993,France,126000
1994,France,124000
1995,France,128000
1996,France,132000
1997,France,129000
1998,France,125000
1999,France,127000
2000,France,131000
2001,France,132000
2002,France,134000
2003,France,136000
2004,France,137000
2005,France,137000
2006,France,137000
2007,France,135000
2008,France,137000
2009,France,130000
2010,France,136000
1960,Gabon,
1961,Gabon,
1962,Gabon,
1963,Gabon,
1964,Gabon,
1965,Gabon,
1966,Gabon,
1967,Gabon,
1968,Gabon,
1969,Gabon,
1970,Gabon,
1971,Gabon,6450
1972,Gabon,7010
1973,Gabon,8640
1974,Gabon,11200
1975,Gabon,11900
1976,Gabon,11900
1977,Gabon,11800
1978,Gabon,11200
1979,Gabon,10900
1980,Gabon,9440
1981,Gabon,8350
1982,Gabon,8590
1983,Gabon,8610
1984,Gabon,8680
1985,Gabon,9430
1986,Gabon,9130
1987,Gabon,8650
1988,Gabon,8840
1989,Gabon,11200
1990,Gabon,14600
1991,Gabon,15900
1992,Gabon,15900
1993,Gabon,16800
1994,Gabon,18500
1995,Gabon,19800
1996,Gabon,19900
1997,Gabon,20100
1998,Gabon,19200
1999,Gabon,17200
2000,Gabon,15100
2001,Gabon,14400
2002,Gabon,14100
2003,Gabon,15100
2004,Gabon,15100
2005,Gabon,14900
2006,Gabon,13500
2007,Gabon,13800
2008,Gabon,13500
2009,Gabon,13600
1960,Georgia,
1961,Georgia,
1962,Georgia,
1963,Georgia,
1964,Georgia,
1965,Georgia,
1966,Georgia,
1967,Georgia,
1968,Georgia,
1969,Georgia,
1970,Georgia,
1971,Georgia,
1972,Georgia,
1973,Georgia,
1974,Georgia,
1975,Georgia,
1976,Georgia,
1977,Georgia,
1978,Georgia,
1979,Georgia,
1980,Georgia,
1981,Georgia,
1982,Georgia,
1983,Georgia,
1984,Georgia,
1985,Georgia,
1986,Georgia,
1987,Georgia,
1988,Georgia,
1989,Georgia,
1990,Georgia,2110
1991,Georgia,1660
1992,Georgia,1490
1993,Georgia,1780
1994,Georgia,1030
1995,Georgia,1200
1996,Georgia,1610
1997,Georgia,1440
1998,Georgia,1380
1999,Georgia,1330
2000,Georgia,1330
2001,Georgia,1270
2002,Georgia,1330
2003,Georgia,1380
2004,Georgia,1290
2005,Georgia,981
2006,Georgia,929
2007,Georgia,1080
2008,Georgia,1080
2009,Georgia,1260
1960,Germany,125000
1961,Germany,127000
1962,Germany,127000
1963,Germany,130000
1964,Germany,132000
1965,Germany,126000
1966,Germany,120000
1967,Germany,110000
1968,Germany,113000
1969,Germany,117000
1970,Germany,175000
1971,Germany,175000
1972,Germany,172000
1973,Germany,172000
1974,Germany,173000
1975,Germany,172000
1976,Germany,174000
1977,Germany,173000
1978,Germany,175000
1979,Germany,182000
1980,Germany,186000
1981,Germany,192000
1982,Germany,193000
1983,Germany,190000
1984,Germany,198000
1985,Germany,209000
1986,Germany,200000
1987,Germany,200000
1988,Germany,202000
1989,Germany,201000
1990,Germany,186000
1991,Germany,168000
1992,Germany,163000
1993,Germany,152000
1994,Germany,145000
1995,Germany,145000
1996,Germany,143000
1997,Germany,144000
1998,Germany,136000
1999,Germany,137000
2000,Germany,135000
2001,Germany,135000
2002,Germany,135000
2003,Germany,136000
2004,Germany,138000
2005,Germany,135000
2006,Germany,136000
2007,Germany,138000
2008,Germany,134000
2009,Germany,127000
2010,Germany,129000
1960,Ghana,
1961,Ghana,
1962,Ghana,
1963,Ghana,
1964,Ghana,
1965,Ghana,
1966,Ghana,
1967,Ghana,
1968,Ghana,
1969,Ghana,
1970,Ghana,
1971,Ghana,2340
1972,Ghana,2470
1973,Ghana,2630
1974,Ghana,2760
1975,Ghana,2820
1976,Ghana,2920
1977,Ghana,3010
1978,Ghana,3030
1979,Ghana,3210
1980,Ghana,3310
1981,Ghana,3380
1982,Ghana,3420
1983,Ghana,3290
1984,Ghana,3330
1985,Ghana,3550
1986,Ghana,3790
1987,Ghana,3950
1988,Ghana,4090
1989,Ghana,4270
1990,Ghana,4390
1991,Ghana,4640
1992,Ghana,4840
1993,Ghana,4970
1994,Ghana,5130
1995,Ghana,5250
1996,Ghana,5410
1997,Ghana,5540
1998,Ghana,5410
1999,Ghana,5640
2000,Ghana,5880
2001,Ghana,6000
2002,Ghana,5990
2003,Ghana,6020
2004,Ghana,6270
2005,Ghana,6430
2006,Ghana,6550
2007,Ghana,6520
2008,Ghana,6860
2009,Ghana,7050
1960,Greece,322
1961,Greece,341
1962,Greece,385
1963,Greece,495
1964,Greece,520
1965,Greece,641
1966,Greece,764
1967,Greece,800
1968,Greece,867
1969,Greece,1040
1970,Greece,1690
1971,Greece,2090
1972,Greece,2170
1973,Greece,2330
1974,Greece,2450
1975,Greece,2930
1976,Greece,3460
1977,Greece,3620
1978,Greece,3480
1979,Greece,3760
1980,Greece,3700
1981,Greece,4420
1982,Greece,5510
1983,Greece,5950
1984,Greece,6420
1985,Greece,6930
1986,Greece,7230
1987,Greece,8050
1988,Greece,8250
1989,Greece,8860
1990,Greece,9200
1991,Greece,9040
1992,Greece,8960
1993,Greece,8980
1994,Greece,9150
1995,Greece,9300
1996,Greece,9120
1997,Greece,9560
1998,Greece,9830
1999,Greece,9530
2000,Greece,9990
2001,Greece,9970
2002,Greece,10200
2003,Greece,9910
2004,Greece,10300
2005,Greece,10300
2006,Greece,10100
2007,Greece,10200
2008,Greece,9860
2009,Greece,10100
2010,Greece,9190
1960,Guatemala,
1961,Guatemala,
1962,Guatemala,
1963,Guatemala,
1964,Guatemala,
1965,Guatemala,
1966,Guatemala,
1967,Guatemala,
1968,Guatemala,
1969,Guatemala,
1970,Guatemala,
1971,Guatemala,1930
1972,Guatemala,1980
1973,Guatemala,2040
1974,Guatemala,2100
1975,Guatemala,2450
1976,Guatemala,2600
1977,Guatemala,2640
1978,Guatemala,2660
1979,Guatemala,2780
1980,Guatemala,2580
1981,Guatemala,2670
1982,Guatemala,2880
1983,Guatemala,2890
1984,Guatemala,2820
1985,Guatemala,2780
1986,Guatemala,3050
1987,Guatemala,3080
1988,Guatemala,3150
1989,Guatemala,3250
1990,Guatemala,3390
1991,Guatemala,3500
1992,Guatemala,3620
1993,Guatemala,3620
1994,Guatemala,3610
1995,Guatemala,3830
1996,Guatemala,4240
1997,Guatemala,4670
1998,Guatemala,4970
1999,Guatemala,5370
2000,Guatemala,5240
2001,Guatemala,5230
2002,Guatemala,5410
2003,Guatemala,5480
2004,Guatemala,5440
2005,Guatemala,5500
2006,Guatemala,5430
2007,Guatemala,5440
2008,Guatemala,5390
2009,Guatemala,6050
1960,Haiti,
1961,Haiti,
1962,Haiti,
1963,Haiti,
1964,Haiti,
1965,Haiti,
1966,Haiti,
1967,Haiti,
1968,Haiti,
1969,Haiti,
1970,Haiti,
1971,Haiti,1380
1972,Haiti,1430
1973,Haiti,1470
1974,Haiti,1520
1975,Haiti,1580
1976,Haiti,1620
1977,Haiti,1670
1978,Haiti,1740
1979,Haiti,1810
1980,Haiti,1880
1981,Haiti,1570
1982,Haiti,1590
1983,Haiti,1610
1984,Haiti,1620
1985,Haiti,1630
1986,Haiti,1220
1987,Haiti,1240
1988,Haiti,1270
1989,Haiti,1280
1990,Haiti,1250
1991,Haiti,1270
1992,Haiti,1350
1993,Haiti,1340
1994,Haiti,1370
1995,Haiti,1390
1996,Haiti,1600
1997,Haiti,1590
1998,Haiti,1630
1999,Haiti,1620
2000,Haiti,1540
2001,Haiti,1540
2002,Haiti,1730
2003,Haiti,1670
2004,Haiti,1650
2005,Haiti,1920
2006,Haiti,1970
2007,Haiti,2010
2008,Haiti,1990
2009,Haiti,1870
1960,Honduras,
1961,Honduras,
1962,Honduras,
1963,Honduras,
1964,Honduras,
1965,Honduras,
1966,Honduras,
1967,Honduras,
1968,Honduras,
1969,Honduras,
1970,Honduras,
1971,Honduras,1010
1972,Honduras,1040
1973,Honduras,1060
1974,Honduras,1090
1975,Honduras,1110
1976,Honduras,1140
1977,Honduras,1170
1978,Honduras,1210
1979,Honduras,1250
1980,Honduras,1320
1981,Honduras,1330
1982,Honduras,1370
1983,Honduras,1390
1984,Honduras,1410
1985,Honduras,1470
1986,Honduras,1480
1987,Honduras,1560
1988,Honduras,1600
1989,Honduras,1630
1990,Honduras,1690
1991,Honduras,1700
1992,Honduras,1700
1993,Honduras,1700
1994,Honduras,1670
1995,Honduras,1660
1996,Honduras,1700
1997,Honduras,1900
1998,Honduras,1900
1999,Honduras,1480
2000,Honduras,1520
2001,Honduras,1490
2002,Honduras,1550
2003,Honduras,1620
2004,Honduras,1670
2005,Honduras,1770
2006,Honduras,1980
2007,Honduras,2120
2008,Honduras,2080
2009,Honduras,2200
1960,Hungary,
1961,Hungary,
1962,Hungary,
1963,Hungary,
1964,Hungary,
1965,Hungary,10400
1966,Hungary,10400
1967,Hungary,10100
1968,Hungary,10700
1969,Hungary,11000
1970,Hungary,11800
1971,Hungary,11900
1972,Hungary,11800
1973,Hungary,12700
1974,Hungary,12700
1975,Hungary,12500
1976,Hungary,13500
1977,Hungary,14100
1978,Hungary,15400
1979,Hungary,14700
1980,Hungary,14500
1981,Hungary,14400
1982,Hungary,14900
1983,Hungary,15100
1984,Hungary,15600
1985,Hungary,16400
1986,Hungary,16100
1987,Hungary,16800
1988,Hungary,16400
1989,Hungary,16100
1990,Hungary,14600
1991,Hungary,14300
1992,Hungary,13900
1993,Hungary,13700
1994,Hungary,13300
1995,Hungary,13900
1996,Hungary,13600
1997,Hungary,13300
1998,Hungary,12500
1999,Hungary,11900
2000,Hungary,11600
2001,Hungary,11300
2002,Hungary,11200
2003,Hungary,10400
2004,Hungary,10200
2005,Hungary,10400
2006,Hungary,10300
2007,Hungary,10200
2008,Hungary,10500
2009,Hungary,11000
2010,Hungary,11000
1960,Iceland,151
1961,Iceland,158
1962,Iceland,170
1963,Iceland,184
1964,Iceland,199
1965,Iceland,201
1966,Iceland,222
1967,Iceland,241
1968,Iceland,273
1969,Iceland,310
1970,Iceland,395
1971,Iceland,423
1972,Iceland,459
1973,Iceland,541
1974,Iceland,531
1975,Iceland,579
1976,Iceland,615
1977,Iceland,677
1978,Iceland,709
1979,Iceland,845
1980,Iceland,904
1981,Iceland,1100
1982,Iceland,1160
1983,Iceland,1230
1984,Iceland,1250
1985,Iceland,1250
1986,Iceland,1280
1987,Iceland,1320
1988,Iceland,1370
1989,Iceland,1410
1990,Iceland,1400
1991,Iceland,1440
1992,Iceland,1390
1993,Iceland,1490
1994,Iceland,1480
1995,Iceland,1570
1996,Iceland,1620
1997,Iceland,1680
1998,Iceland,1810
1999,Iceland,2190
2000,Iceland,2310
2001,Iceland,2450
2002,Iceland,2460
2003,Iceland,2460
2004,Iceland,2520
2005,Iceland,2640
2006,Iceland,3260
2007,Iceland,3950
2008,Iceland,4360
2009,Iceland,4400
2010,Iceland,4570
1960,India,
1961,India,
1962,India,
1963,India,
1964,India,
1965,India,
1966,India,
1967,India,
1968,India,
1969,India,
1970,India,
1971,India,142000
1972,India,146000
1973,India,149000
1974,India,157000
1975,India,166000
1976,India,170000
1977,India,174000
1978,India,178000
1979,India,181000
1980,India,187000
1981,India,200000
1982,India,211000
1983,India,222000
1984,India,233000
1985,India,239000
1986,India,251000
1987,India,259000
1988,India,273000
1989,India,282000
1990,India,292000
1991,India,302000
1992,India,306000
1993,India,310000
1994,India,321000
1995,India,336000
1996,India,342000
1997,India,353000
1998,India,352000
1999,India,359000
2000,India,366000
2001,India,375000
2002,India,384000
2003,India,396000
2004,India,410000
2005,India,422000
2006,India,438000
2007,India,453000
2008,India,468000
2009,India,503000
1960,Indonesia,
1961,Indonesia,
1962,Indonesia,
1963,Indonesia,
1964,Indonesia,
1965,Indonesia,
1966,Indonesia,
1967,Indonesia,
1968,Indonesia,
1969,Indonesia,
1970,Indonesia,
1971,Indonesia,71700
1972,Indonesia,81700
1973,Indonesia,94900
1974,Indonesia,97000
1975,Indonesia,94300
1976,Indonesia,106000
1977,Indonesia,118000
1978,Indonesia,120000
1979,Indonesia,122000
1980,Indonesia,126000
1981,Indonesia,128000
1982,Indonesia,115000
1983,Indonesia,118000
1984,Indonesia,135000
1985,Indonesia,129000
1986,Indonesia,137000
1987,Indonesia,137000
1988,Indonesia,140000
1989,Indonesia,149000
1990,Indonesia,169000
1991,Indonesia,183000
1992,Indonesia,188000
1993,Indonesia,195000
1994,Indonesia,208000
1995,Indonesia,216000
1996,Indonesia,225000
1997,Indonesia,229000
1998,Indonesia,231000
1999,Indonesia,244000
2000,Indonesia,236000
2001,Indonesia,242000
2002,Indonesia,248000
2003,Indonesia,255000
2004,Indonesia,265000
2005,Indonesia,280000
2006,Indonesia,314000
2007,Indonesia,318000
2008,Indonesia,324000
2009,Indonesia,352000
1960,Iran,
1961,Iran,
1962,Iran,
1963,Iran,
1964,Iran,
1965,Iran,
1966,Iran,
1967,Iran,
1968,Iran,
1969,Iran,
1970,Iran,
1971,Iran,239000
1972,Iran,267000
1973,Iran,310000
1974,Iran,319000
1975,Iran,285000
1976,Iran,313000
1977,Iran,301000
1978,Iran,277000
1979,Iran,172000
1980,Iran,80800
1981,Iran,79400
1982,Iran,130000
1983,Iran,133000
1984,Iran,120000
1985,Iran,123000
1986,Iran,102000
1987,Iran,129000
1988,Iran,125000
1989,Iran,160000
1990,Iran,179000
1991,Iran,196000
1992,Iran,202000
1993,Iran,215000
1994,Iran,218000
1995,Iran,224000
1996,Iran,225000
1997,Iran,226000
1998,Iran,230000
1999,Iran,257000
2000,Iran,267000
2001,Iran,260000
2002,Iran,265000
2003,Iran,295000
2004,Iran,307000
2005,Iran,318000
2006,Iran,329000
2007,Iran,345000
2008,Iran,345000
2009,Iran,350000
1960,Iraq,
1961,Iraq,
1962,Iraq,
1963,Iraq,
1964,Iraq,
1965,Iraq,
1966,Iraq,
1967,Iraq,
1968,Iraq,
1969,Iraq,
1970,Iraq,
1971,Iraq,86000
1972,Iraq,74600
1973,Iraq,103000
1974,Iraq,100000
1975,Iraq,115000
1976,Iraq,124000
1977,Iraq,120000
1978,Iraq,132000
1979,Iraq,178000
1980,Iraq,136000
1981,Iraq,45200
1982,Iraq,50900
1983,Iraq,49600
1984,Iraq,61200
1985,Iraq,73100
1986,Iraq,87300
1987,Iraq,109000
1988,Iraq,137000
1989,Iraq,148000
1990,Iraq,105000
1991,Iraq,16700
1992,Iraq,24000
1993,Iraq,27300
1994,Iraq,30200
1995,Iraq,31300
1996,Iraq,32700
1997,Iraq,65500
1998,Iraq,110000
1999,Iraq,131000
2000,Iraq,135000
2001,Iraq,134000
2002,Iraq,116000
2003,Iraq,80400
2004,Iraq,104000
2005,Iraq,97500
2006,Iraq,101000
2007,Iraq,105000
2008,Iraq,118000
2009,Iraq,120000
1960,Ireland,1380
1961,Ireland,1350
1962,Ireland,1350
1963,Ireland,1350
1964,Ireland,1370
1965,Ireland,1120
1966,Ireland,1260
1967,Ireland,1360
1968,Ireland,1710
1969,Ireland,1620
1970,Ireland,1420
1971,Ireland,1420
1972,Ireland,1370
1973,Ireland,1120
1974,Ireland,1310
1975,Ireland,1660
1976,Ireland,1410
